Ulke,Kisi basina dusen GSYIH,Yasam memnuniyeti
Rusya, 26456.3879381321, 5.8
Yunanistan, 27287.0834009302, 5.4
Türkiye, 28384.9877846263, 5.5
Letonya, 29932.4939100562, 5.9
Macaristan, 31007.7684065437, 5.6
Portekiz, 32181.1545372343, 5.4
Polonya, 32238.157259275,6.1
Estonya,35638.4213511812,5.7
İspanya,36215.4475907307,6.3
Slovenya,36547.7389559849,5.9
Litvanya,36732.034744031,5.9
İsrail,38341.3075704083,7.2
İtalya,38992.1483807498,6.0
Birleşik Krallık,41627.129269425,6.8
Fransa,42025.6173730617,6.5
Yeni Zelanda, 42404.3937381567, 7.3
Kanada, 45856.6256264804, 7.4
Finlandiya, 47260.800458441, 7.6
Belçika, 48210.0331113444, 6.9
Avustralya, 48697.8370282475, 7.3
İsveç, 50683.3235097178,7.3
Almanya,50922.3580234484,7.0
Avusturya,51935.6038618156,7.1
İzlanda,52279.7288513646,7.5
Hollanda,54209.5638357302,7.4
Danimarka,55938.2128086032,7.6
Amerika Birleşik Devletleri,60235.7284916969,6.9
